species_key,common_name,scientific_name,entry_type,category_slug,output_filename,prompt,negative_prompt,metadata_license,notes
halfmoon-betta_strain,Halfmoon Betta,Betta splendens,strain,betta,halfmoon-betta_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Halfmoon Betta (Betta splendens), side profile, visible traits: broad half-moon tail spread, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
plakat-betta_strain,Plakat Betta,Betta splendens,strain,betta,plakat-betta_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Plakat Betta (Betta splendens), side profile, visible traits: short-finned betta body shape, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
crowntail-betta_strain,Crowntail Betta,Betta splendens,strain,betta,crowntail-betta_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Crowntail Betta (Betta splendens), side profile, visible traits: spiky crown-like fin rays, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
veiltail-betta_strain,Veiltail Betta,Betta splendens,strain,betta,veiltail-betta_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Veiltail Betta (Betta splendens), side profile, visible traits: long flowing veil tail, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
dumbo-betta_strain,Dumbo Betta,Betta splendens,strain,betta,dumbo-betta_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Dumbo Betta (Betta splendens), side profile, visible traits: large rounded pectoral fins, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
koi-betta_morph,Koi Betta,Betta splendens,morph,betta,koi-betta_morph.jpg,"Realistic aquarium photograph style illustrative placeholder of a Koi Betta (Betta splendens), side profile, visible traits: koi-like mottled color pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
galaxy-betta_morph,Galaxy Betta,Betta splendens,morph,betta,galaxy-betta_morph.jpg,"Realistic aquarium photograph style illustrative placeholder of a Galaxy Betta (Betta splendens), side profile, visible traits: iridescent speckled galaxy pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
dragon-scale-betta_morph,Dragon Scale Betta,Betta splendens,morph,betta,dragon-scale-betta_morph.jpg,"Realistic aquarium photograph style illustrative placeholder of a Dragon Scale Betta (Betta splendens), side profile, visible traits: thick metallic dragon-scale body pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
copper-betta_morph,Copper Betta,Betta splendens,morph,betta,copper-betta_morph.jpg,"Realistic aquarium photograph style illustrative placeholder of a Copper Betta (Betta splendens), side profile, visible traits: copper, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
samurai-betta_morph,Samurai Betta,Betta splendens,morph,betta,samurai-betta_morph.jpg,"Realistic aquarium photograph style illustrative placeholder of a Samurai Betta (Betta splendens), side profile, visible traits: dark body with bold metallic scale contrast, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
